team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
Milwaukee Brewers,County Stadium,1114938,1977,AL,ML4,6,162,67,95,639,5517,1425,139,4.32,38,6,25,4293,1461,136,566,719,0.97,100
Toronto Blue Jays,Exhibition Stadium,1701052,1977,AL,TOR,7,161,54,107,605,5418,1367,163,4.57,40,3,20,4284,1538,152,623,771,0.97,101
Kansas City Royals,Royals Stadium,1852603,1977,AL,KCA,1,162,102,60,822,5594,1549,137,3.52,41,15,42,4380,1377,110,499,850,0.97,102
Texas Rangers,Arlington Stadium,1250722,1977,AL,TEX,2,162,94,68,767,5541,1497,117,3.56,49,17,31,4416,1412,134,471,864,0.98,101
Chicago White Sox,Comiskey Park,1657135,1977,AL,CHA,3,162,90,72,844,5633,1568,159,4.25,34,3,40,4332,1557,136,516,842,0.97,100
Minnesota Twins,Metropolitan Stadium,1162727,1977,AL,MIN,4,161,84,77,867,5639,1588,144,4.36,35,4,25,4326,1546,151,507,737,0.97,99
California Angels,Anaheim Stadium,1432633,1977,AL,CAL,5,162,74,88,675,5410,1380,147,3.72,53,13,26,4311,1383,136,572,965,0.97,96
Seattle Mariners,Kingdome,1338511,1977,AL,SEA,6,162,64,98,624,5460,1398,147,4.83,18,1,31,4299,1508,194,578,785,0.97,99
Oakland Athletics,Oakland Coliseum,495599,1977,AL,OAK,7,161,63,98,605,5358,1284,190,4.04,32,4,26,4308,1459,145,560,788,0.97,97
Philadelphia Phillies,Veterans Stadium,2700070,1977,NL,PHI,1,162,101,61,847,5546,1548,120,3.71,31,7,47,4365,1451,134,482,856,0.98,105
Pittsburgh Pirates,Three Rivers Stadium,1237349,1977,NL,PIT,2,162,96,66,734,5662,1550,145,3.61,25,15,39,4443,1406,149,485,890,0.97,102
St. Louis Cardinals,Busch Stadium II,1659287,1977,NL,SLN,3,162,83,79,737,5527,1490,139,3.81,26,10,31,4338,1420,139,532,768,0.97,99
Chicago Cubs,Wrigley Field,1439834,1977,NL,CHN,4,162,81,81,692,5604,1489,153,4.01,16,10,44,4404,1500,128,489,942,0.97,111
Montreal Expos,Stade Olympique,1433757,1977,NL,MON,5,162,75,87,665,5675,1474,129,4.01,31,11,33,4443,1426,135,579,856,0.98,97
New York Mets,Shea Stadium,1066825,1977,NL,NYN,6,162,64,98,587,5410,1319,134,3.77,27,12,28,4299,1378,118,490,911,0.97,95
Los Angeles Dodgers,Dodger Stadium,2955087,1977,NL,LAN,1,162,98,64,769,5589,1484,124,3.22,34,13,39,4425,1393,119,438,930,0.98,100
Cincinnati Reds,Riverfront Stadium,2519670,1977,NL,CIN,2,162,88,74,802,5524,1513,95,4.21,33,12,32,4311,1469,156,544,868,0.98,102
Houston Astros,Astrodome,1109560,1977,NL,HOU,3,162,81,81,680,5530,1405,142,3.54,37,11,28,4395,1384,110,545,871,0.97,91
San Francisco Giants,Candlestick Park,700056,1977,NL,SFN,4,162,75,87,673,5497,1392,178,3.75,27,10,33,4377,1501,114,529,854,0.97,99
San Diego Padres,Jack Murphy Stadium,1376269,1977,NL,SDN,5,162,69,93,692,5602,1397,189,4.43,6,5,44,4398,1556,160,673,827,0.97,90
Atlanta Braves,Atlanta-Fulton County Stadium,872464,1977,NL,ATL,6,162,61,101,678,5534,1404,175,4.85,28,5,31,4335,1581,169,701,915,0.97,112
New York Yankees,Yankee Stadium II,2335871,1978,AL,NYA,1,163,100,63,735,5583,1489,113,3.18,39,16,36,4380,1321,111,478,817,0.98,97
Boston Red Sox,Fenway Park II,2320643,1978,AL,BOS,2,163,99,64,796,5587,1493,146,3.54,57,15,26,4416,1530,137,464,706,0.97,112
Milwaukee Brewers,County Stadium,1601406,1978,AL,ML4,3,162,93,69,804,5536,1530,150,3.65,62,19,24,4308,1442,109,398,577,0.97,100
Baltimore Orioles,Memorial Stadium,1051724,1978,AL,BAL,4,161,90,71,659,5422,1397,110,3.56,65,16,33,4287,1340,107,509,754,0.98,94
Detroit Tigers,Tiger Stadium,1714893,1978,AL,DET,5,162,86,76,714,5601,1520,117,3.64,60,12,21,4365,1441,135,503,684,0.98,103
Cleveland Indians,Cleveland Stadium,800584,1978,AL,CLE,6,159,69,90,639,5365,1400,121,3.97,36,6,28,4221,1397,100,568,739,0.98,99
Toronto Blue Jays,Exhibition Stadium,1562585,1978,AL,TOR,7,161,59,102,590,5430,1358,130,4.54,35,5,23,4287,1529,149,614,758,0.97,101
Kansas City Royals,Royals Stadium,2255493,1978,AL,KCA,1,162,92,70,743,5474,1469,150,3.44,53,14,33,4317,1350,108,478,657,0.97,103
California Angels,Anaheim Stadium,1755386,1978,AL,CAL,2,162,87,75,691,5472,1417,136,3.65,44,13,33,4365,1382,125,599,892,0.97,96
Texas Rangers,Arlington Stadium,1447963,1978,AL,TEX,2,162,87,75,692,5347,1353,153,3.36,54,12,25,4368,1431,108,421,776,0.97,100
Minnesota Twins,Metropolitan Stadium,787878,1978,AL,MIN,4,162,73,89,666,5522,1472,146,3.69,48,9,26,4377,1468,102,520,703,0.97,102
Chicago White Sox,Comiskey Park,1491100,1978,AL,CHA,5,161,71,90,634,5393,1423,138,4.21,38,9,33,4227,1380,128,586,710,0.97,101
Oakland Athletics,Oakland Coliseum,526999,1978,AL,OAK,6,162,69,93,532,5321,1304,179,3.62,26,11,29,4299,1401,106,582,750,0.97,94
Seattle Mariners,Kingdome,877440,1978,AL,SEA,7,160,56,104,614,5358,1327,141,4.67,28,4,20,4257,1540,155,567,630,0.97,100
Philadelphia Phillies,Veterans Stadium,2583389,1978,NL,PHI,1,162,90,72,708,5448,1404,104,3.33,38,9,29,4308,1343,118,393,813,0.98,101
Pittsburgh Pirates,Three Rivers Stadium,964106,1978,NL,PIT,2,161,88,73,684,5406,1390,166,3.41,30,13,44,4332,1366,103,499,880,0.97,105
Chicago Cubs,Wrigley Field,1525311,1978,NL,CHN,3,162,79,83,664,5532,1461,144,4.05,24,7,38,4365,1475,125,539,768,0.97,112
Montreal Expos,Stade Olympique,1427007,1978,NL,MON,4,162,76,86,633,5530,1404,134,3.42,42,13,32,4338,1332,117,572,740,0.97,99
St. Louis Cardinals,Busch Stadium II,1278215,1978,NL,SLN,5,162,69,93,600,5415,1351,136,3.58,32,13,22,4311,1300,94,600,859,0.97,99
New York Mets,Shea Stadium,1007328,1978,NL,NYN,6,162,66,96,607,5433,1332,132,3.87,21,7,26,4365,1447,114,531,775,0.97,96
Los Angeles Dodgers,Dodger Stadium,3347845,1978,NL,LAN,1,162,95,67,727,5437,1435,140,3.12,46,16,38,4320,1362,107,440,800,0.97,100
Cincinnati Reds,Riverfront Stadium,2532497,1978,NL,CIN,2,161,92,69,710,5392,1378,134,3.81,16,10,46,4344,1437,122,567,908,0.97,100
San Francisco Giants,Candlestick Park,1740477,1978,NL,SFN,3,162,89,73,613,5364,1331,146,3.3,42,17,29,4365,1377,84,453,840,0.97,96
San Diego Padres,Jack Murphy Stadium,1670107,1978,NL,SDN,4,162,84,78,591,5360,1349,160,3.28,21,10,55,4299,1385,74,483,744,0.97,91
Houston Astros,Astrodome,1126145,1978,NL,HOU,5,162,74,88,605,5458,1408,132,3.63,48,17,23,4320,1328,86,578,930,0.97,92
Atlanta Braves,Atlanta-Fulton County Stadium,904494,1978,NL,ATL,6,162,69,93,600,5381,1313,153,4.08,29,12,32,4320,1404,132,624,848,0.97,112
Baltimore Orioles,Memorial Stadium,1681009,1979,AL,BAL,1,159,102,57,757,5371,1401,125,3.26,52,12,30,4302,1279,133,467,786,0.98,97
Milwaukee Brewers,County Stadium,1918343,1979,AL,ML4,2,161,95,66,807,5536,1552,127,4.03,61,12,23,4317,1563,162,381,580,0.98,100
Boston Red Sox,Fenway Park II,2353114,1979,AL,BOS,3,160,91,69,841,5538,1567,142,4.03,47,11,29,4293,1487,133,463,731,0.97,106
New York Yankees,Yankee Stadium II,2537765,1979,AL,NYA,4,160,89,71,734,5421,1443,122,3.83,43,10,37,4296,1446,123,455,731,0.98,98
Detroit Tigers,Tiger Stadium,1630929,1979,AL,DET,5,161,85,76,770,5375,1446,120,4.27,25,5,37,4269,1429,167,547,802,0.98,103
Cleveland Indians,Cleveland Stadium,1011644,1979,AL,CLE,6,161,81,80,760,5376,1388,126,4.57,28,7,32,4293,1502,138,570,781,0.97,101
Toronto Blue Jays,Exhibition Stadium,1431651,1979,AL,TOR,7,162,53,109,613,5423,1362,158,4.82,44,7,11,4251,1537,165,594,613,0.97,100
California Angels,Anaheim Stadium,2523575,1979,AL,CAL,1,162,88,74,866,5550,1563,135,4.34,46,9,33,4308,1463,131,573,820,0.97,96
Kansas City Royals,Royals Stadium,2261845,1979,AL,KCA,2,162,85,77,851,5653,1596,146,4.45,42,7,27,4344,1477,165,536,640,0.97,102
Texas Rangers,Arlington Stadium,1519671,1979,AL,TEX,3,162,83,79,750,5562,1549,130,3.86,26,10,42,4311,1371,135,532,773,0.97,99
Minnesota Twins,Metropolitan Stadium,1070521,1979,AL,MIN,4,162,82,80,764,5544,1544,134,4.13,31,6,33,4332,1590,128,452,721,0.97,104
Chicago White Sox,Comiskey Park,1280702,1979,AL,CHA,5,160,73,87,730,5463,1505,173,4.1,28,9,37,4227,1365,114,618,675,0.97,100
Seattle Mariners,Kingdome,844447,1979,AL,SEA,6,162,67,95,711,5544,1490,141,4.58,37,7,26,4314,1567,165,571,736,0.97,102
Oakland Athletics,Oakland Coliseum,306763,1979,AL,OAK,7,162,54,108,573,5348,1276,174,4.75,41,4,20,4287,1606,147,654,726,0.97,94
Pittsburgh Pirates,Three Rivers Stadium,1435454,1979,NL,PIT,1,163,98,64,775,5661,1541,134,3.41,24,7,52,4479,1424,125,504,904,0.97,105
Montreal Expos,Stade Olympique,2102173,1979,NL,MON,2,160,95,65,701,5465,1445,131,3.14,33,18,39,4341,1379,116,450,813,0.97,99
St. Louis Cardinals,Busch Stadium II,1627256,1979,NL,SLN,3,163,86,76,731,5734,1594,132,3.72,38,10,25,4458,1449,127,501,788,0.98,102
Philadelphia Phillies,Veterans Stadium,2775011,1979,NL,PHI,4,163,84,78,683,5463,1453,106,4.16,33,14,29,4323,1455,135,477,787,0.98,103
Chicago Cubs,Wrigley Field,1648587,1979,NL,CHN,5,162,80,82,706,5550,1494,159,3.88,20,11,44,4338,1500,127,521,933,0.97,110
New York Mets,Shea Stadium,788905,1979,NL,NYN,6,163,63,99,593,5591,1399,140,3.84,16,10,36,4446,1486,120,607,819,0.97,96
Cincinnati Reds,Riverfront Stadium,2356933,1979,NL,CIN,1,161,90,71,731,5477,1445,124,3.58,27,10,40,4320,1415,103,485,773,0.98,101
Houston Astros,Astrodome,1900312,1979,NL,HOU,2,162,89,73,583,5394,1382,137,3.2,55,19,31,4341,1278,90,504,854,0.97,94
Los Angeles Dodgers,Dodger Stadium,2860954,1979,NL,LAN,3,162,79,83,739,5490,1443,118,3.83,30,6,34,4332,1425,101,555,811,0.98,99
San Francisco Giants,Candlestick Park,1456402,1979,NL,SFN,4,162,71,91,672,5395,1328,161,4.16,25,6,34,4308,1484,143,577,880,0.97,93
San Diego Padres,Jack Murphy Stadium,1456967,1979,NL,SDN,5,161,68,93,603,5446,1316,140,3.69,29,7,25,4359,1438,108,513,779,0.97,93
Atlanta Braves,Atlanta-Fulton County Stadium,769465,1979,NL,ATL,6,160,66,94,669,5422,1389,183,4.18,32,3,34,4221,1496,132,494,779,0.97,107
New York Yankees,Yankee Stadium II,2627417,1980,AL,NYA,1,162,103,59,820,5553,1484,138,3.58,29,15,50,4392,1433,102,463,845,0.97,98
Baltimore Orioles,Memorial Stadium,1797438,1980,AL,BAL,2,162,100,62,805,5585,1523,95,3.64,42,10,41,4380,1438,134,507,789,0.98,99
Milwaukee Brewers,County Stadium,1857408,1980,AL,ML4,3,162,86,76,811,5653,1555,147,3.71,48,14,30,4350,1530,137,420,575,0.97,97
Detroit Tigers,Tiger Stadium,1785293,1980,AL,DET,4,163,84,78,830,5648,1543,129,4.25,40,9,30,4401,1505,152,558,741,0.97,102
Boston Red Sox,Fenway Park II,1956092,1980,AL,BOS,5,160,83,77,757,5603,1588,149,4.38,30,8,43,4323,1557,129,481,696,0.97,106
Cleveland Indians,Cleveland Stadium,1033827,1980,AL,CLE,6,160,79,81,738,5470,1517,105,4.68,35,8,32,4284,1519,137,552,843,0.98,101
Toronto Blue Jays,Exhibition Stadium,1400327,1980,AL,TOR,7,162,67,95,624,5571,1398,133,4.19,39,9,23,4398,1523,135,635,705,0.97,105
Kansas City Royals,Royals Stadium,2288714,1980,AL,KCA,1,162,97,65,809,5714,1633,141,3.83,37,10,42,4377,1496,129,465,614,0.97,100
Oakland Athletics,Oakland Coliseum,842259,1980,AL,OAK,2,162,83,79,686,5495,1424,130,3.46,94,9,13,4413,1347,142,521,769,0.97,93
Minnesota Twins,Metropolitan Stadium,769206,1980,AL,MIN,3,161,77,84,670,5530,1468,146,3.93,35,9,30,4353,1502,120,468,744,0.97,108
Texas Rangers,Arlington Stadium,1198175,1980,AL,TEX,4,163,76,85,756,5690,1616,147,4.02,35,6,25,4353,1561,119,519,890,0.97,97
Chicago White Sox,Comiskey Park,1200365,1980,AL,CHA,5,162,70,90,587,5444,1408,171,3.92,32,12,42,4305,1434,108,563,724,0.97,100
California Angels,Anaheim Stadium,2297327,1980,AL,CAL,6,160,65,95,698,5443,1442,134,4.52,22,6,30,4284,1548,141,529,725,0.97,97
Seattle Mariners,Kingdome,836204,1980,AL,SEA,7,163,59,103,610,5489,1359,149,4.38,31,7,26,4371,1565,159,540,703,0.97,101
Philadelphia Phillies,Veterans Stadium,2651650,1980,NL,PHI,1,162,91,71,728,5625,1517,136,3.43,25,8,40,4440,1419,87,530,889,0.97,105
Montreal Expos,Stade Olympique,2208175,1980,NL,MON,2,162,90,72,694,5465,1407,144,3.48,33,15,36,4368,1447,100,460,823,0.97,100
Pittsburgh Pirates,Three Rivers Stadium,1646757,1980,NL,PIT,3,162,83,79,666,5517,1469,137,3.58,25,8,43,4374,1422,110,451,832,0.97,103
St. Louis Cardinals,Busch Stadium II,1385147,1980,NL,SLN,4,162,74,88,738,5608,1541,122,3.93,34,9,27,4341,1454,90,495,664,0.98,104
New York Mets,Shea Stadium,1192073,1980,NL,NYN,5,162,67,95,611,5478,1407,154,3.85,17,9,33,4353,1473,140,510,886,0.97,97
Chicago Cubs,Wrigley Field,1206776,1980,NL,CHN,6,162,64,98,614,5619,1411,174,3.89,13,6,35,4437,1525,109,589,923,0.97,107
Houston Astros,Astrodome,2278217,1980,NL,HOU,1,163,93,70,637,5566,1455,140,3.1,31,18,41,4446,1367,69,466,929,0.97,92
Los Angeles Dodgers,Dodger Stadium,3249287,1980,NL,LAN,2,163,92,71,663,5568,1462,123,3.25,24,19,42,4416,1358,105,480,835,0.98,99
Cincinnati Reds,Riverfront Stadium,2022450,1980,NL,CIN,3,163,89,73,707,5516,1445,106,3.85,30,12,37,4377,1404,113,506,833,0.98,101
Atlanta Braves,Atlanta-Fulton County Stadium,1048411,1980,NL,ATL,4,161,81,80,630,5402,1352,162,3.77,29,9,37,4284,1397,131,454,696,0.97,103
San Francisco Giants,Candlestick Park,1096115,1980,NL,SFN,5,161,75,86,573,5368,1310,156,3.46,27,10,35,4344,1446,92,492,811,0.97,97
San Diego Padres,Jack Murphy Stadium,1139026,1980,NL,SDN,6,163,73,89,591,5540,1410,131,3.65,19,9,39,4398,1474,97,536,728,0.98,94
Milwaukee Brewers,County Stadium,874292,1981,AL,ML4,1,109,62,47,493,3743,961,79,3.91,11,4,35,2958,994,72,352,448,0.98,95
Baltimore Orioles,Memorial Stadium,1024247,1981,AL,BAL,2,105,59,46,429,3516,883,68,3.7,25,10,23,2820,923,83,347,489,0.98,100
Detroit Tigers,Tiger Stadium,1149144,1981,AL,DET,3,109,60,49,427,3600,922,65,3.53,33,13,22,2907,840,83,373,476,0.98,104
New York Yankees,Yankee Stadium II,1614353,1981,AL,NYA,4,107,59,48,421,3529,889,72,2.9,16,13,30,2844,827,64,287,606,0.98,98
Boston Red Sox,Fenway Park II,1060379,1981,AL,BOS,5,108,59,49,519,3820,1052,91,3.81,19,4,24,2961,983,90,354,536,0.97,107
Cleveland Indians,Cleveland Stadium,661395,1981,AL,CLE,6,103,52,51,431,3507,922,87,3.88,33,10,13,2793,989,67,311,569,0.97,100
Toronto Blue Jays,Exhibition Stadium,755083,1981,AL,TOR,7,106,37,69,329,3521,797,105,3.82,20,4,18,2859,908,72,377,451,0.97,106
Oakland Athletics,Oakland Coliseum,1304052,1981,AL,OAK,1,109,64,45,458,3677,910,81,3.3,60,13,10,2979,883,80,370,505,0.98,95
Texas Rangers,Arlington Stadium,850076,1981,AL,TEX,2,105,57,48,452,3581,968,69,3.4,23,8,18,2820,891,67,322,488,0.98,94
Chicago White Sox,Comiskey Park,946651,1981,AL,CHA,3,106,54,52,476,3615,982,87,3.47,20,8,23,2822,891,73,336,529,0.97,98
Kansas City Royals,Royals Stadium,1279403,1981,AL,KCA,4,103,50,53,397,3560,952,72,3.56,24,8,24,2767,909,75,273,404,0.98,99
California Angels,Anaheim Stadium,1441545,1981,AL,CAL,5,110,51,59,476,3688,944,101,3.7,27,5,19,2914,958,81,323,426,0.97,100
Seattle Mariners,Kingdome,636276,1981,AL,SEA,6,110,44,65,426,3780,950,91,4.23,10,6,23,2992,1039,76,360,478,0.97,105
Minnesota Twins,Metropolitan Stadium,469090,1981,AL,MIN,7,110,41,68,378,3676,884,93,3.98,13,6,22,2937,1021,79,376,500,0.97,107
St. Louis Cardinals,Busch Stadium II,1010247,1981,NL,SLN,1,103,59,43,464,3537,936,82,3.63,11,5,33,2829,902,52,290,388,0.98,103
Montreal Expos,Stade Olympique,1534564,1981,NL,MON,2,108,60,48,443,3591,883,81,3.3,20,12,23,2925,902,58,268,520,0.98,101
Philadelphia Phillies,Veterans Stadium,1638752,1981,NL,PHI,3,107,59,48,491,3665,1002,86,4.05,19,5,23,2880,967,72,347,580,0.98,104
Pittsburgh Pirates,Three Rivers Stadium,541789,1981,NL,PIT,4,103,46,56,407,3576,920,86,3.56,11,5,29,2826,953,60,346,492,0.97,104
New York Mets,Shea Stadium,704244,1981,NL,NYN,5,105,41,62,348,3493,868,130,3.55,7,3,24,2778,906,74,336,490,0.96,98
Chicago Cubs,Wrigley Field,565637,1981,NL,CHN,6,106,38,65,370,3546,838,113,4.01,6,2,20,2868,983,59,388,532,0.97,104
Cincinnati Reds,Riverfront Stadium,1093730,1981,NL,CIN,1,108,66,42,464,3637,972,80,3.73,25,19,20,2897,863,67,393,593,0.98,102
Los Angeles Dodgers,Dodger Stadium,2381292,1981,NL,LAN,2,110,63,47,450,3751,984,87,3.01,26,19,24,2991,904,54,302,603,0.98,97
Houston Astros,Astrodome,1321282,1981,NL,HOU,3,110,61,49,394,3693,948,87,2.66,23,9,25,2970,842,40,300,610,0.98,95
San Francisco Giants,Candlestick Park,632274,1981,NL,SFN,4,111,56,55,427,3766,941,99,3.28,8,4,33,3028,970,57,393,561,0.97,98
Atlanta Braves,Atlanta-Fulton County Stadium,535418,1981,NL,ATL,5,107,50,56,395,3642,886,102,3.45,11,6,24,2904,936,62,330,471,0.97,102
San Diego Padres,Jack Murphy Stadium,519161,1981,NL,SDN,6,110,41,69,382,3757,963,102,3.72,9,6,23,3006,1013,64,414,492,0.97,93
Milwaukee Brewers,County Stadium,1978896,1982,AL,ML4,1,163,95,67,891,5733,1599,125,3.98,34,6,47,4401,1514,152,511,717,0.98,94
Baltimore Orioles,Memorial Stadium,1613031,1982,AL,BAL,2,163,94,68,774,5557,1478,101,3.99,38,8,34,4386,1436,147,488,719,0.98,100
Boston Red Sox,Fenway Park II,1950124,1982,AL,BOS,3,162,89,73,753,5596,1536,121,4.03,23,11,33,4359,1557,155,478,816,0.98,107
Detroit Tigers,Tiger Stadium,1636058,1982,AL,DET,4,162,83,79,729,5590,1489,115,3.8,45,5,27,4353,1371,172,554,740,0.98,100
New York Yankees,Yankee Stadium II,2041219,1982,AL,NYA,5,162,79,83,709,5526,1417,128,3.99,24,8,39,4377,1471,113,491,939,0.97,98
Cleveland Indians,Cleveland Stadium,1044021,1982,AL,CLE,6,162,78,84,683,5559,1458,123,4.11,31,9,30,4404,1433,122,589,882,0.98,101
Toronto Blue Jays,Exhibition Stadium,1275978,1982,AL,TOR,6,162,78,84,651,5526,1447,136,3.95,41,13,25,4329,1428,147,493,776,0.97,110
California Angels,Anaheim Stadium,2807360,1982,AL,CAL,1,162,93,69,814,5532,1518,106,3.82,40,10,27,4392,1436,124,482,728,0.98,100
Kansas City Royals,Royals Stadium,2284464,1982,AL,KCA,2,162,90,72,784,5629,1603,127,4.08,16,12,45,4293,1443,163,471,650,0.97,100
Chicago White Sox,Comiskey Park,1567787,1982,AL,CHA,3,162,87,75,786,5575,1523,154,3.87,30,10,41,4317,1502,99,460,753,0.97,100
Seattle Mariners,Kingdome,1070404,1982,AL,SEA,4,162,76,86,651,5626,1431,138,3.88,23,11,39,4428,1431,173,547,1002,0.97,103
Oakland Athletics,Oakland Coliseum,1735489,1982,AL,OAK,5,162,68,94,691,5448,1286,160,4.54,42,6,22,4368,1506,177,648,697,0.97,94
Texas Rangers,Arlington Stadium,1154432,1982,AL,TEX,6,162,64,98,590,5445,1354,121,4.28,32,5,24,4293,1554,128,483,690,0.98,95
Minnesota Twins,Hubert H Humphrey Metrodome,921186,1982,AL,MIN,7,162,60,102,657,5544,1427,105,4.72,26,7,30,4299,1484,208,643,812,0.98,103
St. Louis Cardinals,Busch Stadium II,2111906,1982,NL,SLN,1,162,92,70,685,5455,1439,124,3.37,25,10,47,4395,1420,94,502,689,0.98,101
Philadelphia Phillies,Veterans Stadium,2376394,1982,NL,PHI,2,162,89,73,664,5454,1417,121,3.61,38,13,33,4368,1395,86,472,1002,0.98,103
Montreal Expos,Stade Olympique,2318292,1982,NL,MON,3,162,86,76,697,5557,1454,122,3.31,34,10,43,4380,1371,110,448,936,0.98,102
Pittsburgh Pirates,Three Rivers Stadium,1024106,1982,NL,PIT,4,162,84,78,724,5614,1535,145,3.81,19,7,39,4398,1434,118,521,933,0.97,104
Chicago Cubs,Wrigley Field,1249278,1982,NL,CHN,5,162,73,89,676,5531,1436,132,3.92,9,7,43,4341,1510,125,452,764,0.97,102
New York Mets,Shea Stadium,1323036,1982,NL,NYN,6,162,65,97,609,5510,1361,175,3.88,15,5,37,4341,1508,119,582,759,0.97,99
Atlanta Braves,Atlanta-Fulton County Stadium,1801985,1982,NL,ATL,1,162,89,73,739,5507,1411,137,3.82,15,11,51,4389,1484,126,502,813,0.97,104
Los Angeles Dodgers,Dodger Stadium,3608881,1982,NL,LAN,2,162,88,74,691,5642,1487,139,3.26,37,16,28,4464,1356,81,468,932,0.97,98
San Francisco Giants,Candlestick Park,1200948,1982,NL,SFN,3,162,87,75,673,5499,1393,173,3.64,18,4,45,4395,1507,109,466,810,0.97,99
San Diego Padres,Jack Murphy Stadium,1607516,1982,NL,SDN,4,162,81,81,675,5575,1435,152,3.52,20,11,41,4428,1348,139,502,765,0.97,96
Houston Astros,Astrodome,1558555,1982,NL,HOU,5,162,77,85,569,5440,1342,136,3.42,37,16,31,4338,1338,87,479,899,0.97,92
Cincinnati Reds,Riverfront Stadium,1326528,1982,NL,CIN,6,162,61,101,545,5479,1375,128,3.66,22,7,31,4380,1414,105,570,998,0.98,102
Baltimore Orioles,Memorial Stadium,2042071,1983,AL,BAL,1,162,98,64,799,5546,1492,121,3.63,36,15,38,4356,1451,130,452,774,0.98,98
Detroit Tigers,Tiger Stadium,1829636,1983,AL,DET,2,162,92,70,789,5592,1530,124,3.8,42,9,28,4353,1318,170,522,875,0.98,97
New York Yankees,Yankee Stadium II,2257976,1983,AL,NYA,3,162,91,71,770,5631,1535,139,3.86,47,12,32,4368,1449,116,455,892,0.97,96
Toronto Blue Jays,Exhibition Stadium,1930415,1983,AL,TOR,4,162,89,73,795,5581,1546,115,4.12,43,8,32,4335,1434,145,517,835,0.98,106
Milwaukee Brewers,County Stadium,2397131,1983,AL,ML4,5,162,87,75,764,5620,1556,113,4.02,35,10,43,4362,1513,133,491,689,0.98,93
Boston Red Sox,Fenway Park II,1782285,1983,AL,BOS,6,162,78,84,724,5590,1512,130,4.34,29,7,42,4338,1572,158,493,767,0.97,107
Cleveland Indians,Cleveland Stadium,768941,1983,AL,CLE,7,162,70,92,704,5476,1451,122,4.43,34,8,25,4323,1531,120,529,794,0.98,104
Chicago White Sox,Comiskey Park,2132821,1983,AL,CHA,1,162,99,63,800,5484,1439,120,3.67,35,12,48,4335,1355,128,447,877,0.98,104
Kansas City Royals,Royals Stadium,1963875,1983,AL,KCA,2,163,79,83,696,5598,1515,164,4.25,19,8,49,4311,1535,133,471,593,0.97,100
Texas Rangers,Arlington Stadium,1363469,1983,AL,TEX,3,163,77,85,639,5610,1429,113,3.31,43,11,32,4398,1392,97,471,826,0.98,97
Oakland Athletics,Oakland Coliseum,1294941,1983,AL,OAK,4,162,74,88,708,5516,1447,157,4.34,22,12,33,4362,1462,135,626,719,0.97,93
California Angels,Anaheim Stadium,2555016,1983,AL,CAL,5,162,70,92,722,5640,1467,154,4.31,39,7,23,4422,1636,130,496,668,0.97,99
Minnesota Twins,Hubert H Humphrey Metrodome,858939,1983,AL,MIN,5,162,70,92,709,5601,1463,118,4.66,20,5,39,4311,1559,163,580,748,0.98,104
Seattle Mariners,Kingdome,813537,1983,AL,SEA,7,162,60,102,558,5336,1280,134,4.12,25,9,39,4254,1455,145,544,910,0.97,104
Philadelphia Phillies,Veterans Stadium,2128339,1983,NL,PHI,1,163,90,72,696,5426,1352,152,3.34,20,10,41,4383,1429,111,464,1092,0.97,99
Pittsburgh Pirates,Three Rivers Stadium,1225916,1983,NL,PIT,2,162,84,78,659,5531,1460,115,3.55,25,14,41,4386,1378,109,563,1061,0.98,103
Montreal Expos,Stade Olympique,2320651,1983,NL,MON,3,163,82,80,677,5611,1482,116,3.58,38,15,34,4413,1406,120,479,899,0.98,99
St. Louis Cardinals,Busch Stadium II,2317914,1983,NL,SLN,4,162,79,83,679,5550,1496,152,3.79,22,10,27,4380,1479,115,525,709,0.97,101
Chicago Cubs,Wrigley Field,1479717,1983,NL,CHN,5,162,71,91,701,5512,1436,115,4.08,9,10,42,4284,1496,117,498,807,0.98,104
New York Mets,Shea Stadium,1112774,1983,NL,NYN,6,162,68,94,575,5444,1314,151,3.68,18,7,33,4353,1384,97,615,717,0.97,99
Los Angeles Dodgers,Dodger Stadium,3510313,1983,NL,LAN,1,163,91,71,654,5440,1358,168,3.1,27,12,40,4392,1336,97,495,1000,0.97,99
Atlanta Braves,Atlanta-Fulton County Stadium,2119935,1983,NL,ATL,2,162,88,74,746,5472,1489,137,3.67,18,4,48,4320,1412,132,540,895,0.97,108
Houston Astros,Astrodome,1351962,1983,NL,HOU,3,162,85,77,643,5502,1412,147,3.45,22,14,48,4398,1276,94,570,904,0.97,93
San Diego Padres,Jack Murphy Stadium,1539815,1983,NL,SDN,4,163,81,81,653,5527,1384,129,3.62,23,5,44,4401,1389,144,528,850,0.97,97
San Francisco Giants,Candlestick Park,1251530,1983,NL,SFN,5,162,79,83,687,5369,1324,171,3.7,20,9,47,4335,1431,127,520,881,0.97,97
Cincinnati Reds,Riverfront Stadium,1190419,1983,NL,CIN,6,162,74,88,623,5333,1274,114,3.98,34,5,29,4323,1365,135,627,934,0.98,103
Detroit Tigers,Tiger Stadium,2704794,1984,AL,DET,1,162,104,58,829,5644,1529,124,3.49,19,8,51,4392,1358,130,489,914,0.98,100
