team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
New York Mets,Shea Stadium,2266680,1971,NL,NYN,3,162,83,79,588,5477,1365,112,2.99,42,13,22,4398,1227,100,529,1157,0.98,98
Montreal Expos,Jarry Park,1290963,1971,NL,MON,5,162,71,90,622,5335,1312,150,4.12,49,8,25,4302,1418,133,658,829,0.97,100
Philadelphia Phillies,Veterans Stadium,1511223,1971,NL,PHI,6,162,67,95,558,5538,1289,121,3.71,31,10,25,4410,1396,132,525,838,0.98,100
San Francisco Giants,Candlestick Park,1106043,1971,NL,SFN,1,162,90,72,706,5461,1348,177,3.32,45,14,30,4362,1324,128,471,831,0.97,99
Los Angeles Dodgers,Dodger Stadium,2064594,1971,NL,LAN,2,162,89,73,663,5523,1469,131,3.23,48,18,33,4347,1363,110,399,853,0.97,94
Atlanta Braves,Atlanta-Fulton County Stadium,1006320,1971,NL,ATL,3,162,82,80,643,5575,1434,146,3.75,40,11,31,4422,1529,152,485,823,0.97,106
Cincinnati Reds,Riverfront Stadium,1501122,1971,NL,CIN,4,162,79,83,586,5414,1306,103,3.35,27,11,38,4332,1298,112,501,750,0.98,95
Houston Astros,Astrodome,1261589,1971,NL,HOU,4,162,79,83,585,5492,1319,104,3.13,43,10,25,4413,1318,75,475,914,0.98,98
San Diego Padres,Jack Murphy Stadium,557513,1971,NL,SDN,6,161,61,100,486,5366,1250,161,3.22,47,10,17,4314,1351,93,559,923,0.97,93
Detroit Tigers,Tiger Stadium,1892386,1972,AL,DET,1,156,86,70,558,5099,1206,96,2.96,46,11,33,4164,1212,101,465,952,0.98,103
Boston Red Sox,Fenway Park II,1441718,1972,AL,BOS,2,155,85,70,640,5208,1289,130,3.47,48,20,25,4146,1309,101,512,918,0.97,106
Baltimore Orioles,Memorial Stadium,899950,1972,AL,BAL,3,154,80,74,519,5028,1153,100,2.53,62,20,21,4113,1116,85,395,788,0.98,103
